X,Y,Calc_RA,Calc_Dec,RA_Center,Dec_Center,X_Center,Y_Center,Cat_Obj_RA,Cat_Obj_Dec
291.1933861744479,32.19048760910041,356.63579043282783,12.8068313502647,356.6374370962189,12.806772225249905,290.7592510355263,36.35926073082382,0.0,0.0
291.19319954415937,40.5280541076174,356.6390367128518,12.806386660296218,356.6374370962189,12.806772225249905,290.7592510355263,36.35926073082382,0.0,0.0
290.32511589660464,40.52804885254725,356.63908375960995,12.806713100017118,356.6374370962189,12.806772225249905,290.7592510355263,36.35926073082382,0.0,0.0
290.3253055807836,32.19046735403024,356.6358377139932,12.807157790203592,356.6374370962189,12.806772225249905,290.7592510355263,36.35926073082382,0.0,0.0
256.3671422958761,-43.98275129526836,356.60801924665645,12.823992731365813,356.6105336422208,12.8238149506207,255.9327856833045,-37.585664035749296,0.0,0.0
256.36815806099213,-31.18856975594972,356.6130009294533,12.823310105261829,356.6105336422208,12.8238149506207,255.9327856833045,-37.585664035749296,0.0,0.0
255.49843840007975,-31.188565266089977,356.6130480377851,12.823637164628535,356.6105336422208,12.8238149506207,255.9327856833045,-37.585664035749296,0.0,0.0
255.49741330561687,-43.98276280540862,356.60806634287025,12.824319795979575,356.6105336422208,12.8238149506207,255.9327856833045,-37.585664035749296,0.0,0.0
373.22575818618077,-89.51456161999783,356.58396478074104,12.78246567010202,356.5853523129229,12.782442205345983,372.7918614224993,-86.01077616228238,0.0,0.0
373.2256554954435,-82.50699070456692,356.5866928988017,12.78209243192514,356.5853523129229,12.782442205345983,372.7918614224993,-86.01077616228238,0.0,0.0
372.3579646588179,-82.50701195963707,356.5867398451048,12.782418733318055,356.5853523129229,12.782442205345983,372.7918614224993,-86.01077616228238,0.0,0.0
372.3580448944639,-89.51455187506798,356.58401173683046,12.782791978766829,356.5853523129229,12.782442205345983,372.7918614224993,-86.01077616228238,0.0,0.0
