| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0456-SLIT0459-DET01 |    456 |         27 |    BX681 | 356.56475 | 12.83155 |       455.8 |        0.466 |      2.00 |    0.984 | -0.03 |            True |  0.149 |
|  584 | SPAT0596-SLIT0584-DET01 |    596 |         22 |    BX659 | 356.56980 | 12.82930 |       596.0 |        0.615 |      3.00 |    2.197 |  0.18 |           False |  0.073 |
|  687 | SPAT0689-SLIT0687-DET01 |    689 |         31 |   fBX127 | 356.57005 | 12.80698 |       688.7 |        0.523 |      2.00 |    0.984 |  0.01 |            True |  0.067 |
|  687 | SPAT0717-SLIT0687-DET01 |    717 |         31 | SERENDIP | 356.57111 | 12.80686 |       716.6 |        0.900 |      3.00 |    1.105 |  3.34 |           False |  0.067 |
|  787 | SPAT0769-SLIT0787-DET01 |    769 |         24 |    BX512 | 356.57345 | 12.80901 |       768.5 |        0.331 |      3.00 |    1.013 |  0.33 |           False |  0.134 |
|  919 | SPAT0919-SLIT0919-DET01 |    919 |         15 |    BX418 | 356.57738 | 12.79649 |       918.8 |        0.501 |      3.00 |    1.099 |  0.87 |           False |  0.088 |
| 1083 | SPAT1100-SLIT1083-DET01 |   1100 |          4 |    BM118 | 356.58423 | 12.79518 |      1099.9 |        0.675 |      3.00 |    0.948 |  0.23 |           False |  0.110 |
| 1177 | SPAT1176-SLIT1177-DET01 |   1176 |          2 |     MD43 | 356.58526 | 12.78243 |      1176.2 |        0.464 |      3.00 |    1.057 |  0.44 |           False |  0.144 |
| 1252 | SPAT1250-SLIT1252-DET01 |   1250 |         20 |    BX665 | 356.59507 | 12.82987 |      1249.9 |        0.513 |      2.00 |    0.984 |  0.07 |            True |  0.078 |
| 1343 | SPAT1336-SLIT1343-DET01 |   1336 |          3 |    BM113 | 356.59263 | 12.79030 |      1335.5 |        0.415 |      3.00 |    1.118 |  0.33 |           False |  0.114 |
| 1450 | SPAT1448-SLIT1450-DET01 |   1448 |         11 |     MD41 | 356.59539 | 12.77951 |      1448.1 |        0.471 |      3.00 |    1.174 |  0.45 |           False |  0.107 |
| 1553 | SPAT1564-SLIT1553-DET01 |   1564 |         18 |     fC23 | 356.60705 | 12.82827 |      1564.2 |        0.635 |      2.00 |    0.984 |  0.09 |            True |  0.137 |
| 1668 | SPAT1638-SLIT1668-DET01 |   1638 |          1 |    RK120 | 356.60933 | 12.82396 |      1637.7 |        0.254 |      3.00 |    0.987 |  0.27 |           False |  0.037 |
| 1814 | SPAT1806-SLIT1814-DET01 |   1806 |         19 |   fBX165 | 356.61638 | 12.82670 |      1805.9 |        0.406 |      3.00 |    0.701 |  0.29 |           False |  0.053 |
| 1814 | SPAT1836-SLIT1814-DET01 |   1836 |         19 | SERENDIP | 356.61738 | 12.82659 |      1836.4 |        0.789 |      3.00 |    1.513 |  0.48 |           False |  0.053 |
| 1902 | SPAT1908-SLIT1902-DET01 |   1908 |         16 |    BX348 | 356.61434 | 12.78645 |      1907.9 |        0.560 |      3.00 |    0.632 |  0.32 |           False |  0.118 |
| 1902 | SPAT1932-SLIT1902-DET01 |   1932 |         16 | SERENDIP | 356.61525 | 12.78635 |      1932.4 |        0.880 |      3.00 |    0.338 |  0.15 |           False |  0.118 |
| 2000 | SPAT1978-SLIT2000-DET01 |   1978 |         14 |    BX587 | 356.62156 | 12.81759 |      1977.7 |        0.291 |      3.00 |    0.904 |  0.99 |           False |  0.088 |
| 2127 | SPAT2140-SLIT2127-DET01 |   2140 |         13 |    BX336 | 356.62303 | 12.78466 |      2139.7 |        0.586 |      3.00 |    1.173 |  0.58 |           False |  0.116 |
| 2245 | SPAT2252-SLIT2245-DET01 |   2252 |         10 |    BX628 | 356.63321 | 12.82426 |      2251.6 |        0.583 |      3.00 |    0.827 |  0.49 |           False |  0.060 |
| 2337 | SPAT2337-SLIT2337-DET01 |   2337 |         12 |    fBM47 | 356.63625 | 12.82238 |      2337.0 |        0.505 |      2.00 |    0.984 |  0.15 |            True |  0.040 |
| 2425 | SPAT2423-SLIT2425-DET01 |   2423 |          0 |    fBM40 | 356.63730 | 12.80677 |      2423.0 |        0.486 |      3.00 |    0.698 |  0.22 |           False |  0.055 |
| 2524 | SPAT2515-SLIT2524-DET01 |   2515 |         21 |    BX308 | 356.63686 | 12.77869 |      2515.4 |        0.417 |      2.00 |    0.984 | -0.54 |            True |  0.122 |
| 2644 | SPAT2642-SLIT2644-DET01 |   2642 |         17 |    BX523 | 356.64639 | 12.81045 |      2642.4 |        0.492 |      3.00 |    0.861 |  0.42 |           False |  0.122 |
| 2782 | SPAT2774-SLIT2782-DET01 |   2774 |         30 |    BX637 | 356.65365 | 12.82559 |      2774.2 |        0.444 |      3.00 |    0.969 |  1.96 |           False |  0.075 |
| 2945 | SPAT2938-SLIT2945-DET01 |   2938 |         29 |    BX675 | 356.66072 | 12.83034 |      2938.4 |        0.439 |      2.00 |    0.984 |  0.13 |            True |  0.069 |
| 3058 | SPAT3066-SLIT3058-DET01 |   3066 |         25 |    BX575 | 356.66356 | 12.81614 |      3066.0 |        0.581 |      3.00 |    1.128 |  0.30 |           False |  0.080 |
| 3383 | SPAT3411-SLIT3383-DET01 |   3411 |         23 |    BX595 | 356.67731 | 12.81898 |      3410.8 |        0.679 |      3.00 |    1.534 |  0.46 |           False |  0.046 |
| 3511 | SPAT3519-SLIT3511-DET01 |   3519 |         28 |    BX532 | 356.68041 | 12.81134 |      3518.6 |        0.581 |      3.00 |    0.858 |  0.23 |           False |  0.069 |
| 3634 | SPAT3591-SLIT3634-DET01 |   3591 |         26 |    BX454 | 356.68175 | 12.80134 |      3590.5 |        0.212 |      3.00 |    0.732 |  0.27 |           False |  0.059 |
| 3634 | SPAT3664-SLIT3634-DET01 |   3664 |         26 | SERENDIP | 356.68446 | 12.80099 |      3663.9 |        0.722 |      3.00 |    0.981 |  0.20 |           False |  0.059 |
