| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0460-SLIT0459-DET01 |    460 |         27 |    BX681 | 356.56475 | 12.83155 |       460.0 |        0.454 |      2.00 |    1.184 |  0.08 |            True |  0.149 |
|  584 | SPAT0600-SLIT0584-DET01 |    600 |         22 |    BX659 | 356.56980 | 12.82930 |       600.3 |        0.603 |      2.00 |    1.184 |  0.09 |            True |  0.073 |
|  687 | SPAT0693-SLIT0687-DET01 |    693 |         31 |   fBX127 | 356.57005 | 12.80698 |       692.8 |        0.503 |      2.00 |    1.184 | -0.08 |            True |  0.067 |
|  687 | SPAT0723-SLIT0687-DET01 |    723 |         31 | SERENDIP | 356.57143 | 12.80681 |       723.5 |        0.917 |      3.00 |    1.815 |  2.10 |           False |  0.067 |
|  787 | SPAT0774-SLIT0787-DET01 |    774 |         24 |    BX512 | 356.57345 | 12.80901 |       774.1 |        0.327 |      2.00 |    1.184 |  0.24 |            True |  0.134 |
|  919 | SPAT0925-SLIT0919-DET01 |    925 |         15 |    BX418 | 356.57738 | 12.79649 |       925.1 |        0.504 |      3.00 |    1.603 |  0.64 |           False |  0.088 |
| 1083 | SPAT1106-SLIT1083-DET01 |   1106 |          4 |    BM118 | 356.58423 | 12.79518 |      1106.4 |        0.681 |      2.00 |    1.184 |  0.20 |            True |  0.110 |
| 1177 | SPAT1181-SLIT1177-DET01 |   1181 |          2 |     MD43 | 356.58526 | 12.78243 |      1180.8 |        0.444 |      2.00 |    1.184 |  0.36 |            True |  0.144 |
| 1252 | SPAT1254-SLIT1252-DET01 |   1254 |         20 |    BX665 | 356.59507 | 12.82987 |      1254.1 |        0.493 |      2.00 |    1.184 |  0.02 |            True |  0.078 |
| 1343 | SPAT1341-SLIT1343-DET01 |   1341 |          3 |    BM113 | 356.59263 | 12.79030 |      1340.5 |        0.406 |      2.00 |    1.184 |  0.23 |            True |  0.114 |
| 1450 | SPAT1454-SLIT1450-DET01 |   1454 |         11 |     MD41 | 356.59539 | 12.77951 |      1454.4 |        0.478 |      3.00 |    0.521 |  0.19 |           False |  0.107 |
| 1553 | SPAT1568-SLIT1553-DET01 |   1568 |         18 |     fC23 | 356.60705 | 12.82827 |      1568.4 |        0.618 |      2.00 |    1.184 |  0.00 |            True |  0.137 |
| 1668 | SPAT1643-SLIT1668-DET01 |   1643 |          1 |    RK120 | 356.60933 | 12.82396 |      1642.7 |        0.248 |      2.00 |    1.184 |  0.18 |            True |  0.037 |
| 1814 | SPAT1813-SLIT1814-DET01 |   1813 |         19 |   fBX165 | 356.61638 | 12.82670 |      1813.4 |        0.427 |      3.00 |    1.156 |  0.43 |           False |  0.053 |
| 1814 | SPAT1844-SLIT1814-DET01 |   1844 |         19 | SERENDIP | 356.61771 | 12.82654 |      1843.8 |        0.813 |      3.00 |    0.539 |  0.37 |           False |  0.053 |
| 1902 | SPAT1912-SLIT1902-DET01 |   1912 |         16 |    BX348 | 356.61434 | 12.78645 |      1912.1 |        0.541 |      3.00 |    1.189 |  0.46 |           False |  0.118 |
| 2000 | SPAT1985-SLIT2000-DET01 |   1985 |         14 |    BX587 | 356.62156 | 12.81759 |      1984.5 |        0.304 |      3.00 |    1.182 |  0.46 |           False |  0.088 |
| 2127 | SPAT2145-SLIT2127-DET01 |   2145 |         13 |    BX336 | 356.62303 | 12.78466 |      2144.6 |        0.582 |      3.00 |    1.416 |  0.29 |           False |  0.116 |
| 2245 | SPAT2259-SLIT2245-DET01 |   2259 |         10 |    BX628 | 356.63321 | 12.82426 |      2259.2 |        0.603 |      3.00 |    0.859 |  0.20 |           False |  0.060 |
| 2337 | SPAT2341-SLIT2337-DET01 |   2341 |         12 |    fBM47 | 356.63625 | 12.82238 |      2341.2 |        0.485 |      2.00 |    1.184 |  0.01 |            True |  0.040 |
| 2425 | SPAT2427-SLIT2425-DET01 |   2427 |          0 |    fBM40 | 356.63730 | 12.80677 |      2426.7 |        0.461 |      2.00 |    1.184 |  0.16 |            True |  0.055 |
| 2524 | SPAT2520-SLIT2524-DET01 |   2520 |         21 |    BX308 | 356.63686 | 12.77869 |      2519.6 |        0.402 |      2.00 |    1.184 | -2.41 |            True |  0.122 |
| 2644 | SPAT2647-SLIT2644-DET01 |   2647 |         17 |    BX523 | 356.64639 | 12.81045 |      2647.1 |        0.485 |      2.00 |    1.184 |  0.18 |            True |  0.122 |
| 2782 | SPAT2780-SLIT2782-DET01 |   2780 |         30 |    BX637 | 356.65365 | 12.82559 |      2780.2 |        0.449 |      3.00 |    1.537 |  1.10 |           False |  0.075 |
| 2945 | SPAT2943-SLIT2945-DET01 |   2943 |         29 |    BX675 | 356.66072 | 12.83034 |      2942.6 |        0.424 |      2.00 |    1.184 |  0.03 |            True |  0.069 |
| 3058 | SPAT3068-SLIT3058-DET01 |   3068 |         25 |    BX575 | 356.66356 | 12.81614 |      3068.4 |        0.549 |      2.00 |    1.184 |  0.15 |            True |  0.080 |
| 3383 | SPAT3416-SLIT3383-DET01 |   3416 |         23 |    BX595 | 356.67731 | 12.81898 |      3416.0 |        0.676 |      3.00 |    2.185 |  0.33 |           False |  0.046 |
| 3511 | SPAT3523-SLIT3511-DET01 |   3523 |         28 |    BX532 | 356.68041 | 12.81134 |      3523.5 |        0.568 |      3.00 |    1.186 |  0.15 |           False |  0.069 |
| 3634 | SPAT3595-SLIT3634-DET01 |   3595 |         26 |    BX454 | 356.68175 | 12.80134 |      3595.3 |        0.205 |      3.00 |    0.993 |  0.13 |           False |  0.059 |
