| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0458-SLIT0459-DET01 |    458 |         27 |    BX681 | 356.56475 | 12.83155 |       457.9 |        0.471 |      2.00 |    1.072 |  0.11 |            True |  0.149 |
|  584 | SPAT0599-SLIT0584-DET01 |    599 |         22 |    BX659 | 356.56980 | 12.82930 |       598.8 |        0.627 |      3.00 |    1.884 |  0.20 |           False |  0.073 |
|  687 | SPAT0691-SLIT0687-DET01 |    691 |         31 |   fBX127 | 356.57005 | 12.80698 |       690.8 |        0.531 |      2.00 |    1.072 |  0.20 |            True |  0.067 |
|  687 | SPAT0719-SLIT0687-DET01 |    719 |         31 | SERENDIP | 356.57117 | 12.80685 |       718.7 |        0.908 |      3.00 |    0.496 |  2.81 |           False |  0.067 |
|  787 | SPAT0771-SLIT0787-DET01 |    771 |         24 |    BX512 | 356.57345 | 12.80901 |       771.4 |        0.343 |      3.00 |    1.072 |  0.31 |           False |  0.134 |
|  919 | SPAT0921-SLIT0919-DET01 |    921 |         15 |    BX418 | 356.57738 | 12.79649 |       921.0 |        0.505 |      3.00 |    1.016 |  0.90 |           False |  0.088 |
| 1083 | SPAT1102-SLIT1083-DET01 |   1102 |          4 |    BM118 | 356.58423 | 12.79518 |      1102.4 |        0.684 |      3.00 |    1.170 |  0.26 |           False |  0.110 |
| 1177 | SPAT1179-SLIT1177-DET01 |   1179 |          2 |     MD43 | 356.58526 | 12.78243 |      1178.6 |        0.476 |      3.00 |    1.200 |  0.53 |           False |  0.144 |
| 1252 | SPAT1252-SLIT1252-DET01 |   1252 |         20 |    BX665 | 356.59507 | 12.82987 |      1252.0 |        0.521 |      2.00 |    1.072 |  0.03 |            True |  0.078 |
| 1343 | SPAT1337-SLIT1343-DET01 |   1337 |          3 |    BM113 | 356.59263 | 12.79030 |      1336.7 |        0.410 |      3.00 |    1.532 |  0.27 |           False |  0.114 |
| 1450 | SPAT1451-SLIT1450-DET01 |   1451 |         11 |     MD41 | 356.59539 | 12.77951 |      1450.5 |        0.480 |      3.00 |    0.965 |  0.45 |           False |  0.107 |
| 1553 | SPAT1566-SLIT1553-DET01 |   1566 |         18 |     fC23 | 356.60705 | 12.82827 |      1566.3 |        0.642 |      2.00 |    1.072 |  0.11 |            True |  0.137 |
| 1668 | SPAT1640-SLIT1668-DET01 |   1640 |          1 |    RK120 | 356.60933 | 12.82396 |      1640.3 |        0.262 |      3.00 |    0.847 |  0.29 |           False |  0.037 |
| 1814 | SPAT1812-SLIT1814-DET01 |   1812 |         19 |   fBX165 | 356.61638 | 12.82670 |      1812.2 |        0.465 |      2.00 |    1.072 |  0.07 |            True |  0.053 |
| 1814 | SPAT1837-SLIT1814-DET01 |   1837 |         19 | SERENDIP | 356.61737 | 12.82659 |      1837.0 |        0.777 |      3.00 |    1.500 |  0.58 |           False |  0.053 |
| 1902 | SPAT1910-SLIT1902-DET01 |   1910 |         16 |    BX348 | 356.61434 | 12.78645 |      1910.5 |        0.575 |      2.00 |    1.072 |  0.15 |            True |  0.118 |
| 1902 | SPAT1933-SLIT1902-DET01 |   1933 |         16 | SERENDIP | 356.61526 | 12.78634 |      1933.3 |        0.874 |      3.00 |    0.474 |  0.15 |           False |  0.118 |
| 2000 | SPAT1980-SLIT2000-DET01 |   1980 |         14 |    BX587 | 356.62156 | 12.81759 |      1979.7 |        0.295 |      3.00 |    0.921 |  0.95 |           False |  0.088 |
| 2127 | SPAT2142-SLIT2127-DET01 |   2142 |         13 |    BX336 | 356.62303 | 12.78466 |      2142.0 |        0.591 |      3.00 |    1.263 |  0.59 |           False |  0.116 |
| 2245 | SPAT2254-SLIT2245-DET01 |   2254 |         10 |    BX628 | 356.63321 | 12.82426 |      2253.5 |        0.589 |      3.00 |    0.882 |  0.47 |           False |  0.060 |
| 2337 | SPAT2339-SLIT2337-DET01 |   2339 |         12 |    fBM47 | 356.63625 | 12.82238 |      2339.1 |        0.513 |      2.00 |    1.072 |  0.12 |            True |  0.040 |
| 2425 | SPAT2425-SLIT2425-DET01 |   2425 |          0 |    fBM40 | 356.63730 | 12.80677 |      2424.6 |        0.487 |      2.00 |    1.072 |  0.16 |            True |  0.055 |
| 2524 | SPAT2518-SLIT2524-DET01 |   2518 |         21 |    BX308 | 356.63686 | 12.77869 |      2517.5 |        0.423 |      2.00 |    1.072 | -1.06 |            True |  0.122 |
| 2644 | SPAT2645-SLIT2644-DET01 |   2645 |         17 |    BX523 | 356.64639 | 12.81045 |      2644.9 |        0.501 |      3.00 |    0.980 |  0.38 |           False |  0.122 |
| 2782 | SPAT2776-SLIT2782-DET01 |   2776 |         30 |    BX637 | 356.65365 | 12.82559 |      2776.2 |        0.449 |      3.00 |    1.128 |  1.82 |           False |  0.075 |
| 2945 | SPAT2940-SLIT2945-DET01 |   2940 |         29 |    BX675 | 356.66072 | 12.83034 |      2940.5 |        0.444 |      2.00 |    1.072 |  0.14 |            True |  0.069 |
| 3058 | SPAT3068-SLIT3058-DET01 |   3068 |         25 |    BX575 | 356.66356 | 12.81614 |      3068.0 |        0.588 |      3.00 |    1.292 |  0.29 |           False |  0.080 |
| 3383 | SPAT3412-SLIT3383-DET01 |   3412 |         23 |    BX595 | 356.67731 | 12.81898 |      3411.8 |        0.677 |      3.00 |    1.741 |  0.40 |           False |  0.046 |
| 3511 | SPAT3521-SLIT3511-DET01 |   3521 |         28 |    BX532 | 356.68041 | 12.81134 |      3520.5 |        0.583 |      3.00 |    1.119 |  0.30 |           False |  0.069 |
| 3634 | SPAT3593-SLIT3634-DET01 |   3593 |         26 |    BX454 | 356.68175 | 12.80134 |      3592.8 |        0.216 |      3.00 |    0.918 |  0.29 |           False |  0.059 |
