| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0458-SLIT0459-DET01 |    458 |         27 |    BX681 | 356.56475 | 12.83155 |       457.6 |        0.459 |      3.00 |    1.110 |  0.20 |           False |  0.149 |
|  584 | SPAT0599-SLIT0584-DET01 |    599 |         22 |    BX659 | 356.56980 | 12.82930 |       598.9 |        0.619 |      3.00 |    1.789 |  0.23 |           False |  0.073 |
|  687 | SPAT0691-SLIT0687-DET01 |    691 |         31 |   fBX127 | 356.57005 | 12.80698 |       691.3 |        0.521 |      2.00 |    1.046 | -0.18 |            True |  0.067 |
|  687 | SPAT0719-SLIT0687-DET01 |    719 |         31 | SERENDIP | 356.57122 | 12.80684 |       719.3 |        0.900 |      3.00 |    1.663 |  2.41 |           False |  0.067 |
|  787 | SPAT0772-SLIT0787-DET01 |    772 |         24 |    BX512 | 356.57345 | 12.80901 |       771.7 |        0.334 |      3.00 |    1.042 |  0.23 |           False |  0.134 |
|  919 | SPAT0922-SLIT0919-DET01 |    922 |         15 |    BX418 | 356.57738 | 12.79649 |       921.7 |        0.503 |      3.00 |    1.110 |  0.65 |           False |  0.088 |
| 1083 | SPAT1103-SLIT1083-DET01 |   1103 |          4 |    BM118 | 356.58423 | 12.79518 |      1102.9 |        0.676 |      3.00 |    1.035 |  0.28 |           False |  0.110 |
| 1177 | SPAT1179-SLIT1177-DET01 |   1179 |          2 |     MD43 | 356.58526 | 12.78243 |      1179.3 |        0.468 |      3.00 |    0.838 |  0.31 |           False |  0.144 |
| 1252 | SPAT1252-SLIT1252-DET01 |   1252 |         20 |    BX665 | 356.59507 | 12.82987 |      1252.5 |        0.511 |      2.00 |    1.046 |  0.04 |            True |  0.078 |
| 1343 | SPAT1339-SLIT1343-DET01 |   1339 |          3 |    BM113 | 356.59263 | 12.79030 |      1338.6 |        0.417 |      3.00 |    1.569 |  0.34 |           False |  0.114 |
| 1450 | SPAT1452-SLIT1450-DET01 |   1452 |         11 |     MD41 | 356.59539 | 12.77951 |      1452.4 |        0.485 |      3.00 |    0.812 |  0.28 |           False |  0.107 |
| 1553 | SPAT1567-SLIT1553-DET01 |   1567 |         18 |     fC23 | 356.60705 | 12.82827 |      1566.8 |        0.634 |      2.00 |    1.046 |  0.09 |            True |  0.137 |
| 1668 | SPAT1640-SLIT1668-DET01 |   1640 |          1 |    RK120 | 356.60933 | 12.82396 |      1640.5 |        0.254 |      3.00 |    1.050 |  0.30 |           False |  0.037 |
| 1814 | SPAT1813-SLIT1814-DET01 |   1813 |         19 |   fBX165 | 356.61638 | 12.82670 |      1812.7 |        0.456 |      2.00 |    1.046 |  0.16 |            True |  0.053 |
| 1814 | SPAT1842-SLIT1814-DET01 |   1842 |         19 | SERENDIP | 356.61758 | 12.82656 |      1841.6 |        0.823 |      3.00 |    0.532 |  0.27 |           False |  0.053 |
| 1902 | SPAT1909-SLIT1902-DET01 |   1909 |         16 |    BX348 | 356.61434 | 12.78645 |      1909.2 |        0.545 |      3.00 |    1.196 |  0.66 |           False |  0.118 |
| 2000 | SPAT1981-SLIT2000-DET01 |   1981 |         14 |    BX587 | 356.62156 | 12.81759 |      1980.6 |        0.294 |      3.00 |    1.011 |  0.76 |           False |  0.088 |
| 2127 | SPAT2142-SLIT2127-DET01 |   2142 |         13 |    BX336 | 356.62303 | 12.78466 |      2142.5 |        0.588 |      3.00 |    1.138 |  0.36 |           False |  0.116 |
| 2245 | SPAT2254-SLIT2245-DET01 |   2254 |         10 |    BX628 | 356.63321 | 12.82426 |      2254.4 |        0.585 |      3.00 |    0.768 |  0.33 |           False |  0.060 |
| 2337 | SPAT2340-SLIT2337-DET01 |   2340 |         12 |    fBM47 | 356.63625 | 12.82238 |      2339.6 |        0.503 |      2.00 |    1.046 |  0.14 |            True |  0.040 |
| 2425 | SPAT2425-SLIT2425-DET01 |   2425 |          0 |    fBM40 | 356.63730 | 12.80677 |      2425.2 |        0.478 |      2.00 |    1.046 |  0.10 |            True |  0.055 |
| 2524 | SPAT2518-SLIT2524-DET01 |   2518 |         21 |    BX308 | 356.63686 | 12.77869 |      2518.0 |        0.416 |      2.00 |    1.046 | -0.96 |            True |  0.122 |
| 2644 | SPAT2645-SLIT2644-DET01 |   2645 |         17 |    BX523 | 356.64639 | 12.81045 |      2645.2 |        0.493 |      3.00 |    0.955 |  0.24 |           False |  0.122 |
| 2782 | SPAT2777-SLIT2782-DET01 |   2777 |         30 |    BX637 | 356.65365 | 12.82559 |      2776.8 |        0.445 |      3.00 |    1.321 |  1.60 |           False |  0.075 |
| 2945 | SPAT2941-SLIT2945-DET01 |   2941 |         29 |    BX675 | 356.66072 | 12.83034 |      2941.0 |        0.438 |      2.00 |    1.046 |  0.10 |            True |  0.069 |
| 3058 | SPAT3068-SLIT3058-DET01 |   3068 |         25 |    BX575 | 356.66356 | 12.81614 |      3068.4 |        0.578 |      3.00 |    1.174 |  0.26 |           False |  0.080 |
| 3383 | SPAT3413-SLIT3383-DET01 |   3413 |         23 |    BX595 | 356.67731 | 12.81898 |      3413.1 |        0.677 |      3.00 |    2.322 |  0.36 |           False |  0.046 |
| 3511 | SPAT3521-SLIT3511-DET01 |   3521 |         28 |    BX532 | 356.68041 | 12.81134 |      3521.1 |        0.574 |      3.00 |    1.182 |  0.19 |           False |  0.069 |
| 3634 | SPAT3593-SLIT3634-DET01 |   3593 |         26 |    BX454 | 356.68175 | 12.80134 |      3593.2 |        0.211 |      3.00 |    0.985 |  0.21 |           False |  0.059 |
