| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0460-SLIT0459-DET01 |    460 |         27 |    BX681 | 356.56475 | 12.83155 |       459.8 |        0.466 |      2.00 |    1.058 |  0.13 |            True |  0.149 |
|  584 | SPAT0595-SLIT0584-DET01 |    595 |         22 | SERENDIP | 356.56975 | 12.82933 |       594.6 |        0.561 |      3.00 |    2.113 |  0.30 |           False |  0.073 |
|  584 | SPAT0601-SLIT0584-DET01 |    601 |         22 |    BX659 | 356.56980 | 12.82930 |       601.1 |        0.630 |      3.00 |    2.036 |  0.20 |           False |  0.073 |
|  687 | SPAT0693-SLIT0687-DET01 |    693 |         31 |   fBX127 | 356.57005 | 12.80698 |       692.6 |        0.522 |      2.00 |    1.058 |  0.29 |            True |  0.067 |
|  687 | SPAT0721-SLIT0687-DET01 |    721 |         31 | SERENDIP | 356.57127 | 12.80683 |       720.6 |        0.902 |      3.00 |    1.455 |  3.56 |           False |  0.067 |
|  787 | SPAT0773-SLIT0787-DET01 |    773 |         24 |    BX512 | 356.57345 | 12.80901 |       773.4 |        0.339 |      3.00 |    1.095 |  0.33 |           False |  0.134 |
|  919 | SPAT0923-SLIT0919-DET01 |    923 |         15 |    BX418 | 356.57738 | 12.79649 |       923.3 |        0.503 |      3.00 |    1.068 |  0.83 |           False |  0.088 |
| 1083 | SPAT1105-SLIT1083-DET01 |   1105 |          4 |    BM118 | 356.58423 | 12.79518 |      1104.6 |        0.678 |      3.00 |    1.248 |  0.27 |           False |  0.110 |
| 1177 | SPAT1181-SLIT1177-DET01 |   1181 |          2 |     MD43 | 356.58526 | 12.78243 |      1180.8 |        0.468 |      3.00 |    0.972 |  0.35 |           False |  0.144 |
| 1252 | SPAT1254-SLIT1252-DET01 |   1254 |         20 |    BX665 | 356.59507 | 12.82987 |      1253.8 |        0.512 |      2.00 |    1.058 |  0.04 |            True |  0.078 |
| 1343 | SPAT1339-SLIT1343-DET01 |   1339 |          3 |    BM113 | 356.59263 | 12.79030 |      1339.2 |        0.408 |      3.00 |    1.832 |  0.28 |           False |  0.114 |
| 1450 | SPAT1453-SLIT1450-DET01 |   1453 |         11 |     MD41 | 356.59539 | 12.77951 |      1452.8 |        0.478 |      3.00 |    0.837 |  0.30 |           False |  0.107 |
