| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0457-SLIT0459-DET01 |    457 |         27 |    BX681 | 356.56475 | 12.83155 |       457.0 |        0.463 |      3.00 |    1.137 |  0.13 |           False |  0.149 |
|  584 | SPAT0599-SLIT0584-DET01 |    599 |         22 |    BX659 | 356.56980 | 12.82930 |       599.3 |        0.632 |      3.00 |    1.773 |  0.26 |           False |  0.073 |
|  687 | SPAT0692-SLIT0687-DET01 |    692 |         31 |   fBX127 | 356.57005 | 12.80698 |       691.7 |        0.540 |      2.00 |    1.040 |  0.20 |            True |  0.067 |
|  687 | SPAT0720-SLIT0687-DET01 |    720 |         31 | SERENDIP | 356.57119 | 12.80684 |       720.1 |        0.927 |      3.00 |    1.568 |  3.28 |           False |  0.067 |
|  787 | SPAT0772-SLIT0787-DET01 |    772 |         24 |    BX512 | 356.57345 | 12.80901 |       772.0 |        0.349 |      3.00 |    1.272 |  0.33 |           False |  0.134 |
|  919 | SPAT0922-SLIT0919-DET01 |    922 |         15 |    BX418 | 356.57738 | 12.79649 |       922.2 |        0.511 |      3.00 |    1.106 |  0.76 |           False |  0.088 |
| 1083 | SPAT1104-SLIT1083-DET01 |   1104 |          4 |    BM118 | 356.58423 | 12.79518 |      1103.7 |        0.694 |      3.00 |    1.121 |  0.23 |           False |  0.110 |
| 1177 | SPAT1180-SLIT1177-DET01 |   1180 |          2 |     MD43 | 356.58526 | 12.78243 |      1180.0 |        0.491 |      3.00 |    0.937 |  0.34 |           False |  0.144 |
| 1252 | SPAT1253-SLIT1252-DET01 |   1253 |         20 |    BX665 | 356.59507 | 12.82987 |      1252.9 |        0.530 |      2.00 |    1.040 |  0.08 |            True |  0.078 |
| 1343 | SPAT1339-SLIT1343-DET01 |   1339 |          3 |    BM113 | 356.59263 | 12.79030 |      1339.3 |        0.436 |      3.00 |    1.364 |  0.27 |           False |  0.114 |
| 1450 | SPAT1452-SLIT1450-DET01 |   1452 |         11 |     MD41 | 356.59539 | 12.77951 |      1452.0 |        0.492 |      3.00 |    1.008 |  0.35 |           False |  0.107 |
| 1553 | SPAT1567-SLIT1553-DET01 |   1567 |         18 |     fC23 | 356.60705 | 12.82827 |      1567.2 |        0.650 |      2.00 |    1.040 |  0.03 |            True |  0.137 |
| 1668 | SPAT1641-SLIT1668-DET01 |   1641 |          1 |    RK120 | 356.60933 | 12.82396 |      1641.5 |        0.271 |      3.00 |    1.015 |  0.25 |           False |  0.037 |
| 1814 | SPAT1813-SLIT1814-DET01 |   1813 |         19 |   fBX165 | 356.61638 | 12.82670 |      1813.1 |        0.474 |      2.00 |    1.040 |  0.18 |            True |  0.053 |
| 1902 | SPAT1911-SLIT1902-DET01 |   1911 |         16 |    BX348 | 356.61434 | 12.78645 |      1911.0 |        0.580 |      3.00 |    0.807 |  0.32 |           False |  0.118 |
| 2000 | SPAT1981-SLIT2000-DET01 |   1981 |         14 |    BX587 | 356.62156 | 12.81759 |      1981.0 |        0.308 |      3.00 |    0.979 |  0.80 |           False |  0.088 |
| 2127 | SPAT2144-SLIT2127-DET01 |   2144 |         13 |    BX336 | 356.62303 | 12.78466 |      2143.7 |        0.603 |      3.00 |    1.352 |  0.46 |           False |  0.116 |
| 2245 | SPAT2254-SLIT2245-DET01 |   2254 |         10 |    BX628 | 356.63321 | 12.82426 |      2254.5 |        0.598 |      3.00 |    1.231 |  0.36 |           False |  0.060 |
| 2337 | SPAT2340-SLIT2337-DET01 |   2340 |         12 |    fBM47 | 356.63625 | 12.82238 |      2340.0 |        0.522 |      2.00 |    1.040 |  0.08 |            True |  0.040 |
| 2425 | SPAT2426-SLIT2425-DET01 |   2426 |          0 |    fBM40 | 356.63730 | 12.80677 |      2425.5 |        0.496 |      2.00 |    1.040 |  0.18 |            True |  0.055 |
| 2524 | SPAT2518-SLIT2524-DET01 |   2518 |         21 |    BX308 | 356.63686 | 12.77869 |      2518.4 |        0.430 |      2.00 |    1.040 | -1.12 |            True |  0.122 |
| 2644 | SPAT2646-SLIT2644-DET01 |   2646 |         17 |    BX523 | 356.64639 | 12.81045 |      2645.6 |        0.504 |      3.00 |    0.928 |  0.32 |           False |  0.122 |
| 2782 | SPAT2777-SLIT2782-DET01 |   2777 |         30 |    BX637 | 356.65365 | 12.82559 |      2776.7 |        0.453 |      3.00 |    1.293 |  1.66 |           False |  0.075 |
| 2945 | SPAT2941-SLIT2945-DET01 |   2941 |         29 |    BX675 | 356.66072 | 12.83034 |      2941.4 |        0.451 |      2.00 |    1.040 |  0.15 |            True |  0.069 |
| 3058 | SPAT3069-SLIT3058-DET01 |   3069 |         25 |    BX575 | 356.66356 | 12.81614 |      3068.8 |        0.592 |      3.00 |    1.040 |  0.21 |           False |  0.080 |
| 3383 | SPAT3414-SLIT3383-DET01 |   3414 |         23 |    BX595 | 356.67731 | 12.81898 |      3413.8 |        0.688 |      3.00 |    2.172 |  0.35 |           False |  0.046 |
| 3511 | SPAT3521-SLIT3511-DET01 |   3521 |         28 |    BX532 | 356.68041 | 12.81134 |      3521.5 |        0.594 |      3.00 |    0.980 |  0.23 |           False |  0.069 |
| 3634 | SPAT3593-SLIT3634-DET01 |   3593 |         26 |    BX454 | 356.68175 | 12.80134 |      3593.3 |        0.218 |      3.00 |    0.939 |  0.16 |           False |  0.059 |
