| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0457-SLIT0459-DET01 |    457 |         27 |    BX681 | 356.56475 | 12.83155 |       456.8 |        0.469 |      2.00 |    0.977 |  0.06 |            True |  0.149 |
|  584 | SPAT0598-SLIT0584-DET01 |    598 |         22 |    BX659 | 356.56980 | 12.82930 |       598.0 |        0.628 |      3.00 |    2.038 |  0.14 |           False |  0.073 |
|  687 | SPAT0690-SLIT0687-DET01 |    690 |         31 |   fBX127 | 356.57005 | 12.80698 |       689.7 |        0.528 |      2.00 |    0.524 |  0.05 |            True |  0.067 |
|  687 | SPAT0718-SLIT0687-DET01 |    718 |         31 | SERENDIP | 356.57114 | 12.80685 |       717.6 |        0.906 |      3.00 |    1.778 |  3.54 |           False |  0.067 |
|  787 | SPAT0770-SLIT0787-DET01 |    770 |         24 |    BX512 | 356.57345 | 12.80901 |       770.2 |        0.338 |      3.00 |    1.119 |  0.41 |           False |  0.134 |
|  919 | SPAT0920-SLIT0919-DET01 |    920 |         15 |    BX418 | 356.57738 | 12.79649 |       919.7 |        0.502 |      3.00 |    0.998 |  0.95 |           False |  0.088 |
| 1083 | SPAT1101-SLIT1083-DET01 |   1101 |          4 |    BM118 | 356.58423 | 12.79518 |      1101.1 |        0.679 |      3.00 |    1.094 |  0.24 |           False |  0.110 |
| 1177 | SPAT1178-SLIT1177-DET01 |   1178 |          2 |     MD43 | 356.58526 | 12.78243 |      1177.8 |        0.473 |      3.00 |    1.060 |  0.48 |           False |  0.144 |
| 1252 | SPAT1251-SLIT1252-DET01 |   1251 |         20 |    BX665 | 356.59507 | 12.82987 |      1250.9 |        0.518 |      2.00 |    0.977 |  0.04 |            True |  0.078 |
| 1343 | SPAT1337-SLIT1343-DET01 |   1337 |          3 |    BM113 | 356.59263 | 12.79030 |      1336.9 |        0.423 |      3.00 |    1.515 |  0.38 |           False |  0.114 |
| 1450 | SPAT1449-SLIT1450-DET01 |   1449 |         11 |     MD41 | 356.59539 | 12.77951 |      1449.5 |        0.478 |      3.00 |    1.100 |  0.55 |           False |  0.107 |
| 1553 | SPAT1565-SLIT1553-DET01 |   1565 |         18 |     fC23 | 356.60705 | 12.82827 |      1565.2 |        0.639 |      2.00 |    0.977 |  0.03 |            True |  0.137 |
| 1668 | SPAT1639-SLIT1668-DET01 |   1639 |          1 |    RK120 | 356.60933 | 12.82396 |      1639.0 |        0.260 |      3.00 |    0.795 |  0.29 |           False |  0.037 |
| 1814 | SPAT1808-SLIT1814-DET01 |   1808 |         19 |   fBX165 | 356.61638 | 12.82670 |      1807.7 |        0.420 |      3.00 |    0.606 |  0.27 |           False |  0.053 |
| 1814 | SPAT1837-SLIT1814-DET01 |   1837 |         19 | SERENDIP | 356.61738 | 12.82659 |      1837.0 |        0.787 |      3.00 |    1.371 |  0.40 |           False |  0.053 |
| 1902 | SPAT1909-SLIT1902-DET01 |   1909 |         16 |    BX348 | 356.61434 | 12.78645 |      1909.4 |        0.572 |      2.00 |    0.977 |  0.28 |            True |  0.118 |
| 1902 | SPAT1933-SLIT1902-DET01 |   1933 |         16 | SERENDIP | 356.61528 | 12.78634 |      1933.4 |        0.882 |      3.00 |    0.338 |  0.28 |           False |  0.118 |
| 2000 | SPAT1979-SLIT2000-DET01 |   1979 |         14 |    BX587 | 356.62156 | 12.81759 |      1978.7 |        0.294 |      3.00 |    0.928 |  1.08 |           False |  0.088 |
| 2127 | SPAT2140-SLIT2127-DET01 |   2140 |         13 |    BX336 | 356.62303 | 12.78466 |      2140.5 |        0.588 |      3.00 |    1.089 |  0.57 |           False |  0.116 |
| 2245 | SPAT2252-SLIT2245-DET01 |   2252 |         10 |    BX628 | 356.63321 | 12.82426 |      2252.3 |        0.586 |      3.00 |    0.878 |  0.44 |           False |  0.060 |
| 2337 | SPAT2338-SLIT2337-DET01 |   2338 |         12 |    fBM47 | 356.63625 | 12.82238 |      2338.0 |        0.510 |      2.00 |    0.977 |  0.17 |            True |  0.040 |
| 2425 | SPAT2424-SLIT2425-DET01 |   2424 |          0 |    fBM40 | 356.63730 | 12.80677 |      2423.6 |        0.484 |      2.00 |    0.977 |  0.19 |            True |  0.055 |
| 2524 | SPAT2516-SLIT2524-DET01 |   2516 |         21 |    BX308 | 356.63686 | 12.77869 |      2516.4 |        0.420 |      2.00 |    0.977 | -0.58 |            True |  0.122 |
| 2644 | SPAT2644-SLIT2644-DET01 |   2644 |         17 |    BX523 | 356.64639 | 12.81045 |      2643.5 |        0.496 |      3.00 |    0.770 |  0.43 |           False |  0.122 |
| 2782 | SPAT2775-SLIT2782-DET01 |   2775 |         30 |    BX637 | 356.65365 | 12.82559 |      2775.1 |        0.447 |      3.00 |    0.796 |  1.98 |           False |  0.075 |
| 2945 | SPAT2939-SLIT2945-DET01 |   2939 |         29 |    BX675 | 356.66072 | 12.83034 |      2938.8 |        0.435 |      3.00 |    0.880 |  0.14 |           False |  0.069 |
| 3058 | SPAT3067-SLIT3058-DET01 |   3067 |         25 |    BX575 | 356.66356 | 12.81614 |      3067.4 |        0.586 |      3.00 |    0.957 |  0.25 |           False |  0.080 |
| 3383 | SPAT3411-SLIT3383-DET01 |   3411 |         23 |    BX595 | 356.67731 | 12.81898 |      3410.8 |        0.676 |      3.00 |    1.831 |  0.49 |           False |  0.046 |
| 3511 | SPAT3520-SLIT3511-DET01 |   3520 |         28 |    BX532 | 356.68041 | 12.81134 |      3520.1 |        0.583 |      3.00 |    0.938 |  0.23 |           False |  0.069 |
| 3634 | SPAT3592-SLIT3634-DET01 |   3592 |         26 |    BX454 | 356.68175 | 12.80134 |      3591.5 |        0.213 |      3.00 |    0.814 |  0.26 |           False |  0.059 |
| 3634 | SPAT3665-SLIT3634-DET01 |   3665 |         26 | SERENDIP | 356.68447 | 12.80099 |      3664.7 |        0.722 |      3.00 |    1.096 |  0.19 |           False |  0.059 |
