| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0459-SLIT0459-DET01 |    459 |         27 |    BX681 | 356.56475 | 12.83155 |       459.0 |        0.455 |      3.00 |    1.189 |  0.10 |           False |  0.149 |
|  584 | SPAT0598-SLIT0584-DET01 |    598 |         22 |    BX659 | 356.56980 | 12.82930 |       598.5 |        0.596 |      3.00 |    1.879 |  0.18 |           False |  0.073 |
|  584 | SPAT0601-SLIT0584-DET01 |    601 |         22 | SERENDIP | 356.57003 | 12.82929 |       600.7 |        0.620 |      3.00 |    1.752 |  0.15 |           False |  0.073 |
|  687 | SPAT0692-SLIT0687-DET01 |    692 |         31 |   fBX127 | 356.57005 | 12.80698 |       691.8 |        0.503 |      2.00 |    1.198 | -0.15 |            True |  0.067 |
|  687 | SPAT0722-SLIT0687-DET01 |    722 |         31 | SERENDIP | 356.57137 | 12.80682 |       721.8 |        0.907 |      3.00 |    1.622 |  2.11 |           False |  0.067 |
|  787 | SPAT0773-SLIT0787-DET01 |    773 |         24 |    BX512 | 356.57345 | 12.80901 |       773.0 |        0.327 |      2.00 |    1.198 |  0.25 |            True |  0.134 |
|  919 | SPAT0924-SLIT0919-DET01 |    924 |         15 |    BX418 | 356.57738 | 12.79649 |       924.2 |        0.505 |      3.00 |    1.449 |  0.65 |           False |  0.088 |
| 1083 | SPAT1105-SLIT1083-DET01 |   1105 |          4 |    BM118 | 356.58423 | 12.79518 |      1105.4 |        0.681 |      2.00 |    1.198 |  0.10 |            True |  0.110 |
| 1177 | SPAT1181-SLIT1177-DET01 |   1181 |          2 |     MD43 | 356.58526 | 12.78243 |      1181.2 |        0.468 |      3.00 |    0.791 |  0.24 |           False |  0.144 |
| 1252 | SPAT1253-SLIT1252-DET01 |   1253 |         20 |    BX665 | 356.59507 | 12.82987 |      1253.0 |        0.493 |      2.00 |    1.198 |  0.08 |            True |  0.078 |
| 1343 | SPAT1341-SLIT1343-DET01 |   1341 |          3 |    BM113 | 356.59263 | 12.79030 |      1340.6 |        0.417 |      3.00 |    1.632 |  0.34 |           False |  0.114 |
| 1450 | SPAT1453-SLIT1450-DET01 |   1453 |         11 |     MD41 | 356.59539 | 12.77951 |      1453.5 |        0.477 |      3.00 |    0.880 |  0.30 |           False |  0.107 |
| 1553 | SPAT1567-SLIT1553-DET01 |   1567 |         18 |     fC23 | 356.60705 | 12.82827 |      1567.4 |        0.618 |      2.00 |    1.198 |  0.10 |            True |  0.137 |
| 1668 | SPAT1644-SLIT1668-DET01 |   1644 |          1 |    RK120 | 356.60933 | 12.82396 |      1644.1 |        0.268 |      3.00 |    1.033 |  0.22 |           False |  0.037 |
| 1814 | SPAT1811-SLIT1814-DET01 |   1811 |         19 |   fBX165 | 356.61638 | 12.82670 |      1810.8 |        0.407 |      3.00 |    1.165 |  0.41 |           False |  0.053 |
