| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0458-SLIT0459-DET01 |    458 |         27 |    BX681 | 356.56475 | 12.83155 |       457.8 |        0.456 |      3.00 |    1.059 |  0.23 |           False |  0.149 |
|  584 | SPAT0595-SLIT0584-DET01 |    595 |         22 | SERENDIP | 356.56977 | 12.82933 |       595.0 |        0.575 |      3.00 |    2.183 |  0.28 |           False |  0.073 |
|  584 | SPAT0600-SLIT0584-DET01 |    600 |         22 |    BX659 | 356.56980 | 12.82930 |       599.7 |        0.620 |      3.00 |    2.027 |  0.24 |           False |  0.073 |
|  687 | SPAT0692-SLIT0687-DET01 |    692 |         31 |   fBX127 | 356.57005 | 12.80698 |       691.8 |        0.519 |      2.00 |    1.021 |  0.31 |            True |  0.067 |
|  687 | SPAT0720-SLIT0687-DET01 |    720 |         31 | SERENDIP | 356.57125 | 12.80684 |       720.0 |        0.898 |      3.00 |    1.845 |  4.01 |           False |  0.067 |
|  787 | SPAT0773-SLIT0787-DET01 |    773 |         24 |    BX512 | 356.57345 | 12.80901 |       772.6 |        0.338 |      3.00 |    0.902 |  0.28 |           False |  0.134 |
|  919 | SPAT0922-SLIT0919-DET01 |    922 |         15 |    BX418 | 356.57738 | 12.79649 |       921.9 |        0.498 |      3.00 |    0.962 |  0.86 |           False |  0.088 |
| 1083 | SPAT1103-SLIT1083-DET01 |   1103 |          4 |    BM118 | 356.58423 | 12.79518 |      1103.3 |        0.674 |      3.00 |    1.144 |  0.24 |           False |  0.110 |
| 1177 | SPAT1180-SLIT1177-DET01 |   1180 |          2 |     MD43 | 356.58526 | 12.78243 |      1179.5 |        0.462 |      3.00 |    0.941 |  0.40 |           False |  0.144 |
| 1252 | SPAT1253-SLIT1252-DET01 |   1253 |         20 |    BX665 | 356.59507 | 12.82987 |      1253.0 |        0.509 |      2.00 |    0.966 |  0.06 |            True |  0.078 |
| 1343 | SPAT1339-SLIT1343-DET01 |   1339 |          3 |    BM113 | 356.59263 | 12.79030 |      1338.5 |        0.410 |      3.00 |    1.525 |  0.29 |           False |  0.114 |
| 1450 | SPAT1452-SLIT1450-DET01 |   1452 |         11 |     MD41 | 356.59539 | 12.77951 |      1452.1 |        0.476 |      3.00 |    0.897 |  0.40 |           False |  0.107 |
| 1553 | SPAT1567-SLIT1553-DET01 |   1567 |         18 |     fC23 | 356.60705 | 12.82827 |      1567.4 |        0.632 |      2.00 |    0.966 |  0.17 |            True |  0.137 |
| 1668 | SPAT1642-SLIT1668-DET01 |   1642 |          1 |    RK120 | 356.60933 | 12.82396 |      1642.0 |        0.261 |      3.00 |    0.768 |  0.30 |           False |  0.037 |
| 1814 | SPAT1810-SLIT1814-DET01 |   1810 |         19 |   fBX165 | 356.61638 | 12.82670 |      1810.3 |        0.418 |      3.00 |    1.137 |  0.48 |           False |  0.053 |
| 1814 | SPAT1842-SLIT1814-DET01 |   1842 |         19 | SERENDIP | 356.61758 | 12.82656 |      1841.5 |        0.812 |      3.00 |    0.445 |  0.40 |           False |  0.053 |
| 1902 | SPAT1910-SLIT1902-DET01 |   1910 |         16 |    BX348 | 356.61434 | 12.78645 |      1910.1 |        0.544 |      3.00 |    1.213 |  0.63 |           False |  0.118 |
| 2000 | SPAT1981-SLIT2000-DET01 |   1981 |         14 |    BX587 | 356.62156 | 12.81759 |      1981.1 |        0.293 |      3.00 |    0.976 |  0.96 |           False |  0.088 |
| 2127 | SPAT2144-SLIT2127-DET01 |   2144 |         13 |    BX336 | 356.62303 | 12.78466 |      2143.8 |        0.590 |      3.00 |    0.960 |  0.45 |           False |  0.116 |
| 2245 | SPAT2255-SLIT2245-DET01 |   2255 |         10 |    BX628 | 356.63321 | 12.82426 |      2255.2 |        0.583 |      3.00 |    0.879 |  0.52 |           False |  0.060 |
| 2337 | SPAT2341-SLIT2337-DET01 |   2341 |         12 |    fBM47 | 356.63625 | 12.82238 |      2340.8 |        0.509 |      3.00 |    0.763 |  0.25 |           False |  0.040 |
| 2425 | SPAT2426-SLIT2425-DET01 |   2426 |          0 |    fBM40 | 356.63730 | 12.80677 |      2425.7 |        0.476 |      2.00 |    0.966 |  0.14 |            True |  0.055 |
| 2524 | SPAT2519-SLIT2524-DET01 |   2519 |         21 |    BX308 | 356.63686 | 12.77869 |      2518.6 |        0.414 |      2.00 |    0.135 | -0.14 |            True |  0.122 |
| 2644 | SPAT2646-SLIT2644-DET01 |   2646 |         17 |    BX523 | 356.64639 | 12.81045 |      2646.0 |        0.494 |      3.00 |    1.048 |  0.44 |           False |  0.122 |
| 2782 | SPAT2778-SLIT2782-DET01 |   2778 |         30 |    BX637 | 356.65365 | 12.82559 |      2777.6 |        0.445 |      3.00 |    1.168 |  1.95 |           False |  0.075 |
| 2945 | SPAT2942-SLIT2945-DET01 |   2942 |         29 |    BX675 | 356.66072 | 12.83034 |      2941.6 |        0.436 |      2.00 |    0.966 |  0.18 |            True |  0.069 |
| 3058 | SPAT3069-SLIT3058-DET01 |   3069 |         25 |    BX575 | 356.66356 | 12.81614 |      3069.4 |        0.582 |      3.00 |    1.189 |  0.29 |           False |  0.080 |
