| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0460-SLIT0459-DET01 |    460 |         27 |    BX681 | 356.56475 | 12.83155 |       459.5 |        0.454 |      2.00 |    1.442 |  0.13 |            True |  0.149 |
|  584 | SPAT0602-SLIT0584-DET01 |    602 |         22 |    BX659 | 356.56980 | 12.82930 |       602.3 |        0.627 |      3.00 |    1.804 |  0.09 |           False |  0.073 |
|  687 | SPAT0692-SLIT0687-DET01 |    692 |         31 |   fBX127 | 356.57005 | 12.80698 |       692.4 |        0.503 |      2.00 |    1.442 |  0.13 |            True |  0.067 |
|  687 | SPAT0723-SLIT0687-DET01 |    723 |         31 | SERENDIP | 356.57139 | 12.80682 |       722.5 |        0.908 |      3.00 |    0.595 |  2.05 |           False |  0.067 |
|  787 | SPAT0775-SLIT0787-DET01 |    775 |         24 |    BX512 | 356.57345 | 12.80901 |       774.5 |        0.338 |      3.00 |    1.795 |  0.30 |           False |  0.134 |
|  919 | SPAT0924-SLIT0919-DET01 |    924 |         15 |    BX418 | 356.57738 | 12.79649 |       924.5 |        0.503 |      3.00 |    1.464 |  0.65 |           False |  0.088 |
| 1083 | SPAT1105-SLIT1083-DET01 |   1105 |          4 |    BM118 | 356.58423 | 12.79518 |      1105.2 |        0.674 |      3.00 |    1.050 |  0.20 |           False |  0.110 |
| 1177 | SPAT1181-SLIT1177-DET01 |   1181 |          2 |     MD43 | 356.58526 | 12.78243 |      1181.5 |        0.462 |      3.00 |    1.006 |  0.33 |           False |  0.144 |
| 1252 | SPAT1254-SLIT1252-DET01 |   1254 |         20 |    BX665 | 356.59507 | 12.82987 |      1253.6 |        0.493 |      2.00 |    1.442 | -0.09 |            True |  0.078 |
| 1343 | SPAT1340-SLIT1343-DET01 |   1340 |          3 |    BM113 | 356.59263 | 12.79030 |      1340.1 |        0.406 |      2.00 |    1.442 |  0.22 |            True |  0.114 |
| 1450 | SPAT1454-SLIT1450-DET01 |   1454 |         11 |     MD41 | 356.59539 | 12.77951 |      1453.6 |        0.477 |      3.00 |    0.712 |  0.28 |           False |  0.107 |
| 1553 | SPAT1568-SLIT1553-DET01 |   1568 |         18 |     fC23 | 356.60705 | 12.82827 |      1568.0 |        0.618 |      2.00 |    1.442 |  0.06 |            True |  0.137 |
| 1668 | SPAT1642-SLIT1668-DET01 |   1642 |          1 |    RK120 | 356.60933 | 12.82396 |      1642.3 |        0.248 |      2.00 |    1.442 |  0.11 |            True |  0.037 |
| 1814 | SPAT1812-SLIT1814-DET01 |   1812 |         19 |   fBX165 | 356.61638 | 12.82670 |      1812.0 |        0.418 |      3.00 |    1.117 |  0.33 |           False |  0.053 |
| 1814 | SPAT1844-SLIT1814-DET01 |   1844 |         19 | SERENDIP | 356.61771 | 12.82654 |      1843.6 |        0.815 |      3.00 |    0.618 |  0.49 |           False |  0.053 |
| 1902 | SPAT1911-SLIT1902-DET01 |   1911 |         16 |    BX348 | 356.61434 | 12.78645 |      1911.2 |        0.536 |      3.00 |    1.092 |  0.44 |           False |  0.118 |
| 2000 | SPAT1984-SLIT2000-DET01 |   1984 |         14 |    BX587 | 356.62156 | 12.81759 |      1984.0 |        0.304 |      3.00 |    1.421 |  0.55 |           False |  0.088 |
| 2127 | SPAT2146-SLIT2127-DET01 |   2146 |         13 |    BX336 | 356.62303 | 12.78466 |      2145.7 |        0.592 |      3.00 |    1.503 |  0.29 |           False |  0.116 |
| 2245 | SPAT2257-SLIT2245-DET01 |   2257 |         10 |    BX628 | 356.63321 | 12.82426 |      2257.2 |        0.589 |      3.00 |    1.335 |  0.31 |           False |  0.060 |
| 2337 | SPAT2341-SLIT2337-DET01 |   2341 |         12 |    fBM47 | 356.63625 | 12.82238 |      2340.7 |        0.485 |      2.00 |    1.442 |  0.07 |            True |  0.040 |
| 2425 | SPAT2426-SLIT2425-DET01 |   2426 |          0 |    fBM40 | 356.63730 | 12.80677 |      2426.3 |        0.461 |      2.00 |    1.442 |  0.15 |            True |  0.055 |
| 2524 | SPAT2519-SLIT2524-DET01 |   2519 |         21 |    BX308 | 356.63686 | 12.77869 |      2519.2 |        0.402 |      2.00 |    1.442 | -2.68 |            True |  0.122 |
| 2644 | SPAT2647-SLIT2644-DET01 |   2647 |         17 |    BX523 | 356.64639 | 12.81045 |      2646.6 |        0.485 |      2.00 |    1.442 |  0.25 |            True |  0.122 |
| 2782 | SPAT2779-SLIT2782-DET01 |   2779 |         30 |    BX637 | 356.65365 | 12.82559 |      2779.5 |        0.447 |      3.00 |    1.470 |  1.17 |           False |  0.075 |
| 2945 | SPAT2942-SLIT2945-DET01 |   2942 |         29 |    BX675 | 356.66072 | 12.83034 |      2942.2 |        0.424 |      2.00 |    1.442 |  0.07 |            True |  0.069 |
| 3058 | SPAT3068-SLIT3058-DET01 |   3068 |         25 |    BX575 | 356.66356 | 12.81614 |      3067.9 |        0.549 |      2.00 |    1.442 |  0.17 |            True |  0.080 |
| 3383 | SPAT3414-SLIT3383-DET01 |   3414 |         23 |    BX595 | 356.67731 | 12.81898 |      3414.2 |        0.668 |      3.00 |    2.371 |  0.36 |           False |  0.046 |
| 3511 | SPAT3524-SLIT3511-DET01 |   3524 |         28 |    BX532 | 356.68041 | 12.81134 |      3523.7 |        0.577 |      2.00 |    1.442 |  0.21 |            True |  0.069 |
| 3634 | SPAT3596-SLIT3634-DET01 |   3596 |         26 |    BX454 | 356.68175 | 12.80134 |      3596.5 |        0.217 |      2.00 |    1.442 |  0.23 |            True |  0.059 |
