| slit |                    name | obj_id | maskdef_id | objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0461-SLIT0459-DET01 |    461 |         27 |   BX681 | 356.56475 | 12.83155 |       461.5 |        0.491 |      2.00 |    1.026 |  0.03 |            True |  0.149 |
|  584 | SPAT0602-SLIT0584-DET01 |    602 |         22 |   BX659 | 356.56980 | 12.82930 |       602.0 |        0.650 |      3.00 |    2.168 |  0.14 |           False |  0.073 |
|  687 | SPAT0694-SLIT0687-DET01 |    694 |         31 |  fBX127 | 356.57005 | 12.80698 |       694.4 |        0.563 |      2.00 |    1.026 | -0.47 |            True |  0.067 |
|  787 | SPAT0775-SLIT0787-DET01 |    775 |         24 |   BX512 | 356.57345 | 12.80901 |       775.0 |        0.367 |      3.00 |    0.986 |  0.32 |           False |  0.134 |
|  919 | SPAT0924-SLIT0919-DET01 |    924 |         15 |   BX418 | 356.57738 | 12.79649 |       924.4 |        0.522 |      3.00 |    0.987 |  0.80 |           False |  0.088 |
| 1083 | SPAT1106-SLIT1083-DET01 |   1106 |          4 |   BM118 | 356.58423 | 12.79518 |      1106.2 |        0.709 |      3.00 |    1.056 |  0.27 |           False |  0.110 |
| 1177 | SPAT1182-SLIT1177-DET01 |   1182 |          2 |    MD43 | 356.58526 | 12.78243 |      1182.2 |        0.511 |      3.00 |    1.088 |  0.46 |           False |  0.144 |
| 1252 | SPAT1256-SLIT1252-DET01 |   1256 |         20 |   BX665 | 356.59507 | 12.82987 |      1255.6 |        0.553 |      2.00 |    1.026 |  0.01 |            True |  0.078 |
| 1343 | SPAT1341-SLIT1343-DET01 |   1341 |          3 |   BM113 | 356.59263 | 12.79030 |      1341.0 |        0.446 |      3.00 |    1.466 |  0.34 |           False |  0.114 |
| 1450 | SPAT1454-SLIT1450-DET01 |   1454 |         11 |    MD41 | 356.59539 | 12.77951 |      1453.8 |        0.499 |      3.00 |    0.602 |  0.34 |           False |  0.107 |
| 1553 | SPAT1570-SLIT1553-DET01 |   1570 |         18 |    fC23 | 356.60705 | 12.82827 |      1569.9 |        0.669 |      2.00 |    1.026 |  0.06 |            True |  0.137 |
| 1668 | SPAT1643-SLIT1668-DET01 |   1643 |          1 |   RK120 | 356.60933 | 12.82396 |      1643.4 |        0.277 |      3.00 |    1.029 |  0.24 |           False |  0.037 |
| 1814 | SPAT1816-SLIT1814-DET01 |   1816 |         19 |  fBX165 | 356.61638 | 12.82670 |      1815.8 |        0.496 |      2.00 |    1.026 |  0.11 |            True |  0.053 |
| 1902 | SPAT1914-SLIT1902-DET01 |   1914 |         16 |   BX348 | 356.61434 | 12.78645 |      1913.9 |        0.606 |      3.00 |    1.031 |  0.31 |           False |  0.118 |
| 2000 | SPAT1983-SLIT2000-DET01 |   1983 |         14 |   BX587 | 356.62156 | 12.81759 |      1983.1 |        0.318 |      3.00 |    0.879 |  0.85 |           False |  0.088 |
| 2127 | SPAT2146-SLIT2127-DET01 |   2146 |         13 |   BX336 | 356.62303 | 12.78466 |      2145.9 |        0.616 |      3.00 |    1.278 |  0.52 |           False |  0.116 |
| 2245 | SPAT2257-SLIT2245-DET01 |   2257 |         10 |   BX628 | 356.63321 | 12.82426 |      2257.0 |        0.614 |      3.00 |    0.970 |  0.41 |           False |  0.060 |
| 2337 | SPAT2343-SLIT2337-DET01 |   2343 |         12 |   fBM47 | 356.63625 | 12.82238 |      2342.7 |        0.544 |      2.00 |    1.026 |  0.14 |            True |  0.040 |
| 2425 | SPAT2428-SLIT2425-DET01 |   2428 |          0 |   fBM40 | 356.63730 | 12.80677 |      2428.2 |        0.518 |      2.00 |    1.026 |  0.17 |            True |  0.055 |
| 2524 | SPAT2521-SLIT2524-DET01 |   2521 |         21 |   BX308 | 356.63686 | 12.77869 |      2521.1 |        0.447 |      2.00 |    1.026 | -0.94 |            True |  0.122 |
| 2644 | SPAT2648-SLIT2644-DET01 |   2648 |         17 |   BX523 | 356.64639 | 12.81045 |      2648.0 |        0.518 |      3.00 |    1.023 |  0.39 |           False |  0.122 |
| 2782 | SPAT2779-SLIT2782-DET01 |   2779 |         30 |   BX637 | 356.65365 | 12.82559 |      2779.3 |        0.463 |      3.00 |    1.152 |  1.72 |           False |  0.075 |
| 2945 | SPAT2944-SLIT2945-DET01 |   2944 |         29 |   BX675 | 356.66072 | 12.83034 |      2944.1 |        0.468 |      2.00 |    1.026 |  0.15 |            True |  0.069 |
| 3058 | SPAT3070-SLIT3058-DET01 |   3070 |         25 |   BX575 | 356.66356 | 12.81614 |      3069.9 |        0.593 |      2.00 |    1.026 |  0.11 |            True |  0.080 |
| 3383 | SPAT3415-SLIT3383-DET01 |   3415 |         23 |   BX595 | 356.67731 | 12.81898 |      3414.5 |        0.686 |      3.00 |    1.980 |  0.35 |           False |  0.046 |
| 3511 | SPAT3524-SLIT3511-DET01 |   3524 |         28 |   BX532 | 356.68041 | 12.81134 |      3524.3 |        0.614 |      3.00 |    1.046 |  0.26 |           False |  0.069 |
| 3634 | SPAT3596-SLIT3634-DET01 |   3596 |         26 |   BX454 | 356.68175 | 12.80134 |      3596.4 |        0.233 |      3.00 |    0.944 |  0.14 |           False |  0.059 |
