| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0460-SLIT0459-DET01 |    460 |         27 |    BX681 | 356.56475 | 12.83155 |       459.8 |        0.478 |      2.00 |    0.953 |  0.07 |            True |  0.149 |
|  584 | SPAT0594-SLIT0584-DET01 |    594 |         22 | SERENDIP | 356.56967 | 12.82934 |       594.2 |        0.572 |      3.00 |    2.509 |  0.29 |           False |  0.073 |
|  584 | SPAT0601-SLIT0584-DET01 |    601 |         22 |    BX659 | 356.56980 | 12.82930 |       600.8 |        0.639 |      3.00 |    2.319 |  0.18 |           False |  0.073 |
|  687 | SPAT0693-SLIT0687-DET01 |    693 |         31 |   fBX127 | 356.57005 | 12.80698 |       692.7 |        0.543 |      2.00 |    0.953 |  0.24 |            True |  0.067 |
|  687 | SPAT0720-SLIT0687-DET01 |    720 |         31 | SERENDIP | 356.57120 | 12.80684 |       720.4 |        0.922 |      3.00 |    0.514 |  2.77 |           False |  0.067 |
|  787 | SPAT0773-SLIT0787-DET01 |    773 |         24 |    BX512 | 356.57345 | 12.80901 |       773.3 |        0.350 |      3.00 |    1.055 |  0.36 |           False |  0.134 |
|  919 | SPAT0923-SLIT0919-DET01 |    923 |         15 |    BX418 | 356.57738 | 12.79649 |       922.8 |        0.511 |      3.00 |    1.039 |  0.95 |           False |  0.088 |
| 1083 | SPAT1104-SLIT1083-DET01 |   1104 |          4 |    BM118 | 356.58423 | 12.79518 |      1104.3 |        0.693 |      3.00 |    1.060 |  0.27 |           False |  0.110 |
| 1177 | SPAT1181-SLIT1177-DET01 |   1181 |          2 |     MD43 | 356.58526 | 12.78243 |      1181.2 |        0.499 |      3.00 |    0.968 |  0.42 |           False |  0.144 |
| 1252 | SPAT1251-SLIT1252-DET01 |   1251 |         20 |    BX665 | 356.59507 | 12.82987 |      1250.6 |        0.489 |      3.00 |    0.901 |  0.13 |           False |  0.078 |
| 1343 | SPAT1340-SLIT1343-DET01 |   1340 |          3 |    BM113 | 356.59263 | 12.79030 |      1340.2 |        0.436 |      3.00 |    1.672 |  0.30 |           False |  0.114 |
| 1450 | SPAT1452-SLIT1450-DET01 |   1452 |         11 |     MD41 | 356.59539 | 12.77951 |      1452.2 |        0.487 |      3.00 |    0.865 |  0.43 |           False |  0.107 |
