| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
| 1553 | SPAT1568-SLIT1553-DET01 |   1568 |         18 |     fC23 | 356.60705 | 12.82827 |      1568.2 |        0.652 |      2.00 |    0.953 |  0.09 |            True |  0.137 |
| 1668 | SPAT1642-SLIT1668-DET01 |   1642 |          1 |    RK120 | 356.60933 | 12.82396 |      1641.6 |        0.266 |      3.00 |    0.939 |  0.30 |           False |  0.037 |
| 1814 | SPAT1814-SLIT1814-DET01 |   1814 |         19 |   fBX165 | 356.61638 | 12.82670 |      1814.2 |        0.477 |      2.00 |    0.953 |  0.02 |            True |  0.053 |
| 1814 | SPAT1834-SLIT1814-DET01 |   1834 |         19 | SERENDIP | 356.61723 | 12.82661 |      1834.0 |        0.725 |      3.00 |    1.480 |  0.32 |           False |  0.053 |
| 1902 | SPAT1912-SLIT1902-DET01 |   1912 |         16 |    BX348 | 356.61434 | 12.78645 |      1912.1 |        0.586 |      3.00 |    0.521 |  0.29 |           False |  0.118 |
| 2000 | SPAT1982-SLIT2000-DET01 |   1982 |         14 |    BX587 | 356.62156 | 12.81759 |      1981.6 |        0.304 |      3.00 |    0.884 |  0.99 |           False |  0.088 |
| 2127 | SPAT2144-SLIT2127-DET01 |   2144 |         13 |    BX336 | 356.62303 | 12.78466 |      2143.7 |        0.599 |      3.00 |    1.046 |  0.53 |           False |  0.116 |
| 2245 | SPAT2255-SLIT2245-DET01 |   2255 |         10 |    BX628 | 356.63321 | 12.82426 |      2255.4 |        0.596 |      3.00 |    0.828 |  0.48 |           False |  0.060 |
| 2337 | SPAT2341-SLIT2337-DET01 |   2341 |         12 |    fBM47 | 356.63625 | 12.82238 |      2341.0 |        0.524 |      2.00 |    0.953 |  0.14 |            True |  0.040 |
| 2425 | SPAT2427-SLIT2425-DET01 |   2427 |          0 |    fBM40 | 356.63730 | 12.80677 |      2427.0 |        0.502 |      3.00 |    0.785 |  0.26 |           False |  0.055 |
| 2524 | SPAT2519-SLIT2524-DET01 |   2519 |         21 |    BX308 | 356.63686 | 12.77869 |      2519.4 |        0.431 |      2.00 |    0.953 | -0.51 |            True |  0.122 |
| 2644 | SPAT2647-SLIT2644-DET01 |   2647 |         17 |    BX523 | 356.64639 | 12.81045 |      2646.5 |        0.506 |      3.00 |    1.105 |  0.42 |           False |  0.122 |
| 2782 | SPAT2778-SLIT2782-DET01 |   2778 |         30 |    BX637 | 356.65365 | 12.82559 |      2777.8 |        0.453 |      3.00 |    0.795 |  1.79 |           False |  0.075 |
| 2945 | SPAT2942-SLIT2945-DET01 |   2942 |         29 |    BX675 | 356.66072 | 12.83034 |      2942.4 |        0.453 |      2.00 |    0.953 |  0.12 |            True |  0.069 |
| 3058 | SPAT3069-SLIT3058-DET01 |   3069 |         25 |    BX575 | 356.66356 | 12.81614 |      3069.5 |        0.590 |      3.00 |    1.039 |  0.19 |           False |  0.080 |
| 3383 | SPAT3329-SLIT3383-DET01 |   3329 |         23 | SERENDIP | 356.67413 | 12.81943 |      3328.9 |        0.138 |      3.00 |    1.090 |  0.12 |           False |  0.046 |
| 3383 | SPAT3416-SLIT3383-DET01 |   3416 |         23 |    BX595 | 356.67731 | 12.81898 |      3415.6 |        0.693 |      3.00 |    2.244 |  0.40 |           False |  0.046 |
| 3511 | SPAT3522-SLIT3511-DET01 |   3522 |         28 |    BX532 | 356.68041 | 12.81134 |      3522.5 |        0.595 |      3.00 |    0.897 |  0.21 |           False |  0.069 |
| 3634 | SPAT3595-SLIT3634-DET01 |   3595 |         26 |    BX454 | 356.68175 | 12.80134 |      3594.8 |        0.223 |      3.00 |    0.836 |  0.22 |           False |  0.059 |
| 3634 | SPAT3668-SLIT3634-DET01 |   3668 |         26 | SERENDIP | 356.68454 | 12.80098 |      3667.5 |        0.730 |      3.00 |    0.870 |  0.18 |           False |  0.059 |
